title,location,time,price,img_url
75 Square Feet Shop near Clifton Hyper star,Clifton,10  Aug,"Rs 85,00,000",https://apollo-singapore.akamaized.net/v1/files/qtz8lcfigs783-PK/image;s=261x203;pk_;slot=1;filename=qtz8lcfigs783-PK_.jpg
Brand new 40'HC Containers available Karachi,,10  Aug,"Rs 3,80,000",https://apollo-singapore.akamaized.net/v1/files/nzv1lajaozjd1-PK/image;s=261x203;pk_;slot=1;filename=nzv1lajaozjd1-PK_.jpg
New jewelar center Saddar,Saddar Town,10  Aug,"Rs 65,00,000",https://olxpkstatic-a.akamaihd.net/d51c078-978/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
container conversions,Pechs I,10  Aug,"Rs 28,00,000",https://apollo-singapore.akamaized.net/v1/files/zvg7apsdk9353-PK/image;s=261x203;pk_;slot=2;filename=zvg7apsdk9353-PK_.jpg
brand new & used shipping containers available,Pechs II,10  Aug,"Rs 3,00,000",https://apollo-singapore.akamaized.net/v1/files/4rvjrajwgv4i1-PK/image;s=261x203;pk_;slot=1;filename=4rvjrajwgv4i1-PK_.jpg
Shop near Johor chowrangi is on sale at very cheapest price.,Gulistan-e-Jauhar,10  Aug,"Rs 38,00,000",https://apollo-singapore.akamaized.net/v1/files/0w5ey7xx0cur1-PK/image;s=261x203;pk_;slot=1;filename=0w5ey7xx0cur1-PK_.jpg
Comercail land,National Highway,10  Aug,"Rs 12,00,000",https://olxpkstatic-a.akamaihd.net/d51c078-978/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Porta Cabin Fabricated room on Roof,Super Highway,10  Aug,"Rs 4,75,000",https://apollo-singapore.akamaized.net/v1/files/7kykne7p273d3-PK/image;s=261x203;pk_;slot=1;filename=7kykne7p273d3-PK_.jpg
Shop 1600-Sq Forum Mall Clifton Washroom & 1 Parking Dimensions 24×65,DHA Defence,10  Aug,"Rs 1,50,00,000",https://apollo-singapore.akamaized.net/v1/files/1dq4q1ojle191-PK/image;s=261x203;pk_;slot=1;filename=1dq4q1ojle191-PK_.jpg
Big Front 225sq.ft shop in Ittehad commercial Dha phase 6,DHA Defence,10  Aug,"Rs 62,00,000",https://apollo-singapore.akamaized.net/v1/files/9sou2vs0hf231-PK/image;s=261x203;pk_;slot=1;filename=9sou2vs0hf231-PK_.jpg
"Defence, Bukhari Comm.Brand New SHOP, Aar Par, Best For Any Kind Bussi",,10  Aug,"Rs 1,85,00,000",https://apollo-singapore.akamaized.net/v1/files/em18nktfjlu52-PK/image;s=261x203;pk_;slot=1;filename=em18nktfjlu52-PK_.jpg
Commercial house for sale,Gulshan-E-Iqbal 1,10  Aug,"Rs 10,00,00,000",https://olxpkstatic-a.akamaihd.net/d51c078-978/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Shop sell arjant very cheap prize need cash reason for sale,Abdullah Haroon Road,10  Aug,"Rs 22,50,000",https://apollo-singapore.akamaized.net/v1/files/yic0j2jbxd5c3-PK/image;s=261x203;pk_;slot=3;filename=yic0j2jbxd5c3-PK_.jpg
Gulistan E johar block 11,Gulistan-e-Jauhar,10  Aug,"Rs 15,00,000",https://olxpkstatic-a.akamaihd.net/f55a353-979/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
500 square feet Main Jamaluddin afghani road near tv station sharfabad,Bhadarabad,10  Aug,"Rs 2,80,00,000",https://apollo-singapore.akamaized.net/v1/files/pdffo1vblqur1-PK/image;s=261x203;pk_;slot=1;filename=pdffo1vblqur1-PK_.jpg
Midway Commercial Bahria Town Karachi.,Shaheed Millat Road,9  Aug,"Rs 1,35,00,000",https://apollo-singapore.akamaized.net/v1/files/0znzlqmr3dwv-PK/image;s=261x203;pk_;slot=2;filename=0znzlqmr3dwv-PK_.jpg
Shop for sale in ( SHAHAB ARCADE) on Main Nagan,Anda Mor Road,9  Aug,"Rs 96,00,000",https://apollo-singapore.akamaized.net/v1/files/a7pfu7nyxaug-PK/image;s=261x203;pk_;slot=1;filename=a7pfu7nyxaug-PK_.jpg
Plot Available,M.A. Jinnah Road,9  Aug,"Rs 3,00,000",https://olxpkstatic-a.akamaihd.net/d51c078-978/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Parking Plaza,M.A. Jinnah Road,9  Aug,"Rs 3,00,000",https://olxpkstatic-a.akamaihd.net/d51c078-978/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Badar commercial shop available with basement,DHA Defence,9  Aug,"Rs 2,61,25,000",https://apollo-singapore.akamaized.net/v1/files/hm8dvp3k9xnq-PK/image;s=261x203;pk_;slot=1;filename=hm8dvp3k9xnq-PK_.jpg
Shop decent garden block7 gulistan johar main universty road,University Road,9  Aug,"Rs 65,00,000",https://olxpkstatic-a.akamaihd.net/d51c078-978/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Shop For Sale In Bokhari Commercial DHA Ph-VI,DHA Defence,9  Aug,"Rs 1,30,00,000",https://apollo-singapore.akamaized.net/v1/files/fjmdsy20a2qu2-PK/image;s=261x203;pk_;slot=1;filename=fjmdsy20a2qu2-PK_.jpg
Ready lease jeweller shop for sale,Korangi,9  Aug,"Rs 25,00,000",https://olxpkstatic-a.akamaihd.net/d51c078-978/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Shops Availability For Sell,M.A. Jinnah Road,9  Aug,"Rs 38,00,000",https://apollo-singapore.akamaized.net/v1/files/5ipf7u3t1fje1-PK/image;s=261x203;pk_;slot=1;filename=5ipf7u3t1fje1-PK_.jpg
Main Road Facing Shop available in Rabia City,Gulistan-e-Jauhar,9  Aug,"Rs 50,00,000",https://apollo-singapore.akamaized.net/v1/files/t6d4cnceqaqx2-PK/image;s=261x203;pk_;slot=1;filename=t6d4cnceqaqx2-PK_.jpg
Defence Badar commercial dha phase 5,DHA Defence,9  Aug,"Rs 40,00,000",https://apollo-singapore.akamaized.net/v1/files/jovvggokc8652-PK/image;s=261x203;pk_;slot=1;filename=jovvggokc8652-PK_.jpg
School and living purpose,Malir,9  Aug,"Rs 90,00,000",https://apollo-singapore.akamaized.net/v1/files/4ys86h7h07za1-PK/image;s=261x203;pk_;slot=1;filename=4ys86h7h07za1-PK_.jpg
Medical store +clanic,Allama Iqbal Colony,9  Aug,"Rs 3,50,000",https://apollo-singapore.akamaized.net/v1/files/z2edwwna2bue-PK/image;s=261x203;pk_;slot=1;filename=z2edwwna2bue-PK_.jpg
Office/ Floor available for sale,DHA,9  Aug,"Rs 75,00,000",https://apollo-singapore.akamaized.net/v1/files/wjb4do0l76p73-PK/image;s=261x203;pk_;slot=1;filename=wjb4do0l76p73-PK_.jpg
"310 Sq Ft Mezzanine Luxury Office, Jinnah Emporium, Islamabad For Sale",Others,9  Aug,"Rs 5,00,000",https://apollo-singapore.akamaized.net/v1/files/arigrbe7i26m-PK/image;s=261x203;pk_;slot=1;filename=arigrbe7i26m-PK_.jpg
"310 Sq Ft Mezzanine Luxury Office, Jinnah Emporium, Islamabad For Sale",Others,9  Aug,"Rs 4,20,000",https://apollo-singapore.akamaized.net/v1/files/7hhde52n9jna3-PK/image;s=261x203;pk_;slot=1;filename=7hhde52n9jna3-PK_.jpg
"210 Sq Ft Upper Ground Shops, Jinnah Emporium, Islamabad For Sale",Others,9  Aug,"Rs 8,80,000",https://apollo-singapore.akamaized.net/v1/files/et0l1tnxj26t-PK/image;s=261x203;pk_;slot=2;filename=et0l1tnxj26t-PK_.jpg
"210 Sq Ft Upper Ground Shops, Jinnah Emporium, Islamabad For Sale",Others,9  Aug,"Rs 7,20,000",https://apollo-singapore.akamaized.net/v1/files/w6572c1xp2bb-PK/image;s=261x203;pk_;slot=1;filename=w6572c1xp2bb-PK_.jpg
"210 Sq Ft Upper Ground Shops, Jinnah Emporium, Islamabad For Sale",Others,9  Aug,"Rs 6,80,000",https://apollo-singapore.akamaized.net/v1/files/eovvo4s2txkz1-PK/image;s=261x203;pk_;slot=1;filename=eovvo4s2txkz1-PK_.jpg
"210 Sq Ft Ground Floor Shops, Jinnah Emporium, Islamabad For Sale",Others,9  Aug,"Rs 8,00,000",https://apollo-singapore.akamaized.net/v1/files/5so8gtn1t2753-PK/image;s=261x203;pk_;slot=1;filename=5so8gtn1t2753-PK_.jpg
"210 Sq Ft Ground Floor Shops, Jinnah Emporium, Islamabad For Sale",Others,9  Aug,"Rs 6,80,000",https://apollo-singapore.akamaized.net/v1/files/ndrp163tatzw2-PK/image;s=261x203;pk_;slot=1;filename=ndrp163tatzw2-PK_.jpg
"210 Sq Ft Lower Ground Floor Shops, Jinnah Emporium, Islamabad For Sale",Others,9  Aug,"Rs 4,10,000",https://apollo-singapore.akamaized.net/v1/files/2bbxi68dwo2g3-PK/image;s=261x203;pk_;slot=1;filename=2bbxi68dwo2g3-PK_.jpg
"210 Sq Ft Lower Ground Floor Shops, Jinnah Emporium, Islamabad For Sale",Others,9  Aug,"Rs 5,00,000",https://apollo-singapore.akamaized.net/v1/files/wgks046osmqj-PK/image;s=261x203;pk_;slot=1;filename=wgks046osmqj-PK_.jpg
"210 Sq Ft Lower Ground Floor Shops, Jinnah Emporium, Islamabad For Sal",Others,9  Aug,"Rs 5,60,000",https://apollo-singapore.akamaized.net/v1/files/jxabvjzn5it52-PK/image;s=261x203;pk_;slot=1;filename=jxabvjzn5it52-PK_.jpg
"210 Sq Ft Basement Shops, Jinnah Emporium, Islamabad For Sale",Others,9  Aug,"Rs 3,60,000",https://apollo-singapore.akamaized.net/v1/files/kcbenbsum4g61-PK/image;s=261x203;pk_;slot=1;filename=kcbenbsum4g61-PK_.jpg
Commercial Shop,Safoora Goth,9  Aug,"Rs 1,85,00,000",https://apollo-singapore.akamaized.net/v1/files/s18jutj6ocyg3-PK/image;s=261x203;pk_;slot=1;filename=s18jutj6ocyg3-PK_.jpg
Madical store +clanic,Allama Iqbal Colony,9  Aug,"Rs 3,50,000",https://apollo-singapore.akamaized.net/v1/files/8mi591fbxk29-PK/image;s=261x203;pk_;slot=1;filename=8mi591fbxk29-PK_.jpg
shop for sale on safoora goth,Gulistan-e-Jauhar,9  Aug,"Rs 1,00,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Shop for sale on block 7,Gulistan-e-Jauhar,9  Aug,"Rs 12,50,00,000",https://apollo-singapore.akamaized.net/v1/files/qbsryzsk1gry1-PK/image;s=261x203;pk_;slot=1;filename=qbsryzsk1gry1-PK_.jpg
gulshan qbal shp fr sell,Gulshan-E-Iqbal 1,9  Aug,"Rs 2,50,00,000",https://apollo-singapore.akamaized.net/v1/files/k02kifblrd5b1-PK/image;s=261x203;pk_;slot=1;filename=k02kifblrd5b1-PK_.jpg
Shop block 13 gulistan-e-jauhar,Gulistan-e-Jauhar,9  Aug,"Rs 48,00,000",https://apollo-singapore.akamaized.net/v1/files/t4n9m2pcnjnf2-PK/image;s=261x203;pk_;slot=1;filename=t4n9m2pcnjnf2-PK_.jpg
Rotana banquit karachi,Gulistan-e-Jauhar,9  Aug,"Rs 1,80,00,000",https://apollo-singapore.akamaized.net/v1/files/p2dr77ef4z3j2-PK/image;s=261x203;pk_;slot=1;filename=p2dr77ef4z3j2-PK_.jpg
"210 Sq Ft Ground Floor Shops, Jinnah Emporium, Islamabad For Sale",Others,9  Aug,"Rs 7,60,000",https://apollo-singapore.akamaized.net/v1/files/yswqe1zwtfzh2-PK/image;s=261x203;pk_;slot=2;filename=yswqe1zwtfzh2-PK_.jpg
Shop block 13,Gulistan-e-Jauhar,9  Aug,"Rs 68,00,000",https://apollo-singapore.akamaized.net/v1/files/6z295fa89l6e3-PK/image;s=261x203;pk_;slot=1;filename=6z295fa89l6e3-PK_.jpg
"310 Sq Ft Mezzanine Luxury Office, Jinnah Emporium, Islamabad For Sale",Others,9  Aug,"Rs 4,60,000",https://apollo-singapore.akamaized.net/v1/files/tu1l9cwp15i6-PK/image;s=261x203;pk_;slot=3;filename=tu1l9cwp15i6-PK_.jpg
Shop 100 sqft very prime location...,Gulshan-E-Iqbal 1,9  Aug,"Rs 90,00,000",https://apollo-singapore.akamaized.net/v1/files/g5u2bjcnizu62-PK/image;s=261x203;pk_;slot=2;filename=g5u2bjcnizu62-PK_.jpg
300 325 550 450 475 Sqft Shops - Brand New Buildings - Badar Comm,DHA Defence,9  Aug,"Rs 75,00,000",https://apollo-singapore.akamaized.net/v1/files/kds11ieokq6v3-PK/image;s=261x203;pk_;slot=1;filename=kds11ieokq6v3-PK_.jpg
"Office for sell 1st floor,DHA phase 7 ext khayaban-e-Rizwan",DHA Defence,9  Aug,"Rs 80,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Shop for sale,Abdullah Haroon Road,9  Aug,"Rs 65,00,000",https://apollo-singapore.akamaized.net/v1/files/7iuzo17itk562-PK/image;s=261x203;pk_;slot=1;filename=7iuzo17itk562-PK_.jpg
Porta Cabins for sale,Super Highway,9  Aug,"Rs 9,40,000",https://apollo-singapore.akamaized.net/v1/files/kffsntv502173-PK/image;s=261x203;pk_;slot=1;filename=kffsntv502173-PK_.jpg
Defance phase v saba commercial 3rd floor appartment 2bedroom availabl,DHA Defence,9  Aug,"Rs 80,00,000",https://apollo-singapore.akamaized.net/v1/files/wdms817epc3f3-PK/image;s=261x203;pk_;slot=1;filename=wdms817epc3f3-PK_.jpg
Office facing SKBZ collage khy Rahat and popular Avenue corner front,,9  Aug,"Rs 1,15,00,000",https://apollo-singapore.akamaized.net/v1/files/zmnuzfotum2n3-PK/image;s=261x203;pk_;slot=1;filename=zmnuzfotum2n3-PK_.jpg
Porta Cabins For Sale,Super Highway,9  Aug,"Rs 9,80,000",https://apollo-singapore.akamaized.net/v1/files/fkq2sqgaixd73-PK/image;s=261x203;pk_;slot=1;filename=fkq2sqgaixd73-PK_.jpg
Good location near new town masjad,Jamshed Quarter,9  Aug,"Rs 1,65,00,000",https://apollo-singapore.akamaized.net/v1/files/y5b0et9lu829-PK/image;s=261x203;pk_;slot=1;filename=y5b0et9lu829-PK_.jpg
Mazzanine in DHA phase 6 prime location main khy Rahat opsite SKBZ Col,,9  Aug,"Rs 1,15,00,000",https://apollo-singapore.akamaized.net/v1/files/7bi8l9j3ffgp3-PK/image;s=261x203;pk_;slot=1;filename=7bi8l9j3ffgp3-PK_.jpg
Office Booking For Sale Al Murtaza Commercial Lane 3 Phase 8,DHA Defence,9  Aug,"Rs 2,21,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Wholesale electronic market Cabin shop available,Saddar Town,9  Aug,"Rs 42,00,000",https://apollo-singapore.akamaized.net/v1/files/yrxf9lw1f2f83-PK/image;s=261x203;pk_;slot=1;filename=yrxf9lw1f2f83-PK_.jpg
small shop for sale opp bhayani heights,Maskan Chowrangi,9  Aug,"Rs 3,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Wholesale electronic market,Saddar Town,9  Aug,"Rs 28,00,000",https://olxpkstatic-a.akamaihd.net/f55a353-979/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Corner shop11 by 40 feet with washroom North Karachi 11A,North Karachi,9  Aug,"Rs 62,00,000",https://apollo-singapore.akamaized.net/v1/files/0w1i2nxmgjaf-PK/image;s=261x203;pk_;slot=1;filename=0w1i2nxmgjaf-PK_.jpg
Ahsan garden commercial,Super Highway,9  Aug,"Rs 40,00,000",https://apollo-singapore.akamaized.net/v1/files/t1mrs6eyklzi2-PK/image;s=261x203;pk_;slot=1;filename=t1mrs6eyklzi2-PK_.jpg
Harbal Dawakhana,Malir,9  Aug,"Rs 80,00,000",https://apollo-singapore.akamaized.net/v1/files/8gs5r1urn7jc1-PK/image;s=261x203;pk_;slot=1;filename=8gs5r1urn7jc1-PK_.jpg
Space Available on Rental for indusrtrial use at main Site Area,Gulshan-E-Iqbal 2,9  Aug,"Rs 3,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
"184 sq.fts., Ground floor Shops available in Emerald Tower at Clifton",,9  Aug,"Rs 1,00,00,000",https://apollo-singapore.akamaized.net/v1/files/wyb9jiktkwmn3-PK/image;s=261x203;pk_;slot=1;filename=wyb9jiktkwmn3-PK_.jpg
10.12 Sqmtrs Shop Gulistan e jauhar block 3,Gulistan-e-Jauhar,9  Aug,"Rs 8,50,000",https://olxpkstatic-a.akamaihd.net/f55a353-979/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Shop for Sale on Main Tariq Road,,9  Aug,"Rs 30,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Argent sall,Tariq Road,9  Aug,"Rs 22,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Shop for sell in nazimabad 4 num,Nazimabad,9  Aug,"Rs 60,00,000",https://apollo-singapore.akamaized.net/v1/files/o1vcdrcp6d9x2-PK/image;s=261x203;pk_;slot=1;filename=o1vcdrcp6d9x2-PK_.jpg
comercail shop in liqath market,Malir,9  Aug,"Rs 85,00,000",https://apollo-singapore.akamaized.net/v1/files/dlebjxi5wceq3-PK/image;s=261x203;pk_;slot=1;filename=dlebjxi5wceq3-PK_.jpg
"Office For Sale 10th floor, Kawish Crown Plaza, Main Shahrah-e -Faisal",Shahra-e-Faisal,9  Aug,"Rs 1,01,85,000",https://apollo-singapore.akamaized.net/v1/files/5vrxfqxrg97f1-PK/image;s=261x203;pk_;slot=1;filename=5vrxfqxrg97f1-PK_.jpg
North nazimabad,North Nazimabad,9  Aug,"Rs 2,00,00,000",https://apollo-singapore.akamaized.net/v1/files/oc54calzsy0t-PK/image;s=261x203;pk_;slot=1;filename=oc54calzsy0t-PK_.jpg
40 feet Road 84 Sq Yd Commercial sell in Block 4 Saadi town TARIQ,PAF Housing Scheme,9  Aug,"Rs 60,00,000",https://apollo-singapore.akamaized.net/v1/files/m684tlm0ueu41-PK/image;s=261x203;pk_;slot=1;filename=m684tlm0ueu41-PK_.jpg
Naganchowrangi sector 11 e,North Karachi,9  Aug,"Rs 28,50,000",https://apollo-singapore.akamaized.net/v1/files/9kea6c85qboj1-PK/image;s=261x203;pk_;slot=1;filename=9kea6c85qboj1-PK_.jpg
350 Sqfts Space Dha Defence Phase Vi,Akhtar Colony,9  Aug,"Rs 95,00,000",https://apollo-singapore.akamaized.net/v1/files/f6sknlnipdc3-PK/image;s=261x203;pk_;slot=1;filename=f6sknlnipdc3-PK_.jpg
Buffer zone sector 15,North Karachi,9  Aug,"Rs 80,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Buffer zone sector 15,North Karachi,9  Aug,"Rs 25,00,000",https://apollo-singapore.akamaized.net/v1/files/cdygk7rm67ir1-PK/image;s=261x203;pk_;slot=1;filename=cdygk7rm67ir1-PK_.jpg
400 sqrft shop for sale in big bukhari commercial dha phase 6,,9  Aug,"Rs 1,20,00,000",https://apollo-singapore.akamaized.net/v1/files/f5446hifnx742-PK/image;s=261x203;pk_;slot=1;filename=f5446hifnx742-PK_.jpg
Office main shahra e faisal with reserved car parking in a new buildin,Shahra-e-Faisal,9  Aug,"Rs 1,30,00,000",https://apollo-singapore.akamaized.net/v1/files/yxrui7emiazm2-PK/image;s=261x203;pk_;slot=1;filename=yxrui7emiazm2-PK_.jpg
Semi Commercial portion for residence forsale,North Karachi,9  Aug,"Rs 48,00,000",https://olxpkstatic-a.akamaihd.net/f55a353-979/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Shop forsale at Nagan chorangi Anarkali appartment,North Karachi,9  Aug,"Rs 42,00,000",https://olxpkstatic-a.akamaihd.net/f55a353-979/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Shop forsale at nagan chorangi Anarkali appartment,North Karachi,9  Aug,"Rs 37,00,000",https://olxpkstatic-a.akamaihd.net/f55a353-979/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Furnished showroom Main M.A.Jinnah Road,Saddar Town,9  Aug,"Rs 78,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
1100 Sq feet Showroom main M.A.Jinnah Road,Saddar Town,9  Aug,"Rs 3,85,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
232 Guzz floor block A nazimabad block 2 inquri office,Nazimabad,9  Aug,"Rs 1,40,00,000",https://apollo-singapore.akamaized.net/v1/files/u1i4lc7a3xsd3-PK/image;s=261x203;pk_;slot=1;filename=u1i4lc7a3xsd3-PK_.jpg
Sale Karachi Nazimabad no-1 all ready rented bank space...,Nazimabad,9  Aug,"Rs 4,50,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Mohamedabad all ready rented bank space Karachi,Aisha Manzil,9  Aug,"Rs 3,40,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
beferzone 3000sqft all ready rented bank space Karachi,Aisha Manzil,8  Aug,"Rs 7,50,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Basement available for salee at Khayaban e Nishat,,8  Aug,"Rs 27,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Shop for sale (Urgent),Kharadar,8  Aug,"Rs 12,00,000",https://apollo-singapore.akamaized.net/v1/files/8llgh9twx29v-PK/image;s=261x203;pk_;slot=1;filename=8llgh9twx29v-PK_.jpg
Wholesale electronic market shop available for sale,Saddar Town,8  Aug,"Rs 96,00,000",https://apollo-singapore.akamaized.net/v1/files/li97qnob71rd3-PK/image;s=261x203;pk_;slot=1;filename=li97qnob71rd3-PK_.jpg
Shop 4 sale saddar center bohri bazar main saddar,Saddar Town,8  Aug,"Rs 30,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
miznine for sale 900sqf,DHA Defence,8  Aug,"Rs 85,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
basement for sale DHA phase 2 extention,DHA Defence,8  Aug,"Rs 90,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Shop Available For Sale In Bahadurabad,Pechs II,8  Aug,"Rs 60,00,000",https://apollo-singapore.akamaized.net/v1/files/1q9bipjokkig1-PK/image;s=261x203;pk_;slot=1;filename=1q9bipjokkig1-PK_.jpg
"Defence phase ii ,900 sqft mazanine floor chance deal available",DHA Defence,8  Aug,"Rs 90,00,000",https://apollo-singapore.akamaized.net/v1/files/t6p170nup22k2-PK/image;s=261x203;pk_;slot=1;filename=t6p170nup22k2-PK_.jpg
84 Sq. Ft Shop for Sale in Rio Shopping Center Saddar karachi,Saddar Town,8  Aug,"Rs 20,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
68 Sq. Ft Shop for sale in Rio Shopping Center,Saddar Town,8  Aug,"Rs 20,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Shop for sale main rashid minhas Road,Gulshan-E-Iqbal 1,8  Aug,"Rs 1,00,00,000",https://apollo-singapore.akamaized.net/v1/files/1cylb4gc9qt53-PK/image;s=261x203;pk_;slot=1;filename=1cylb4gc9qt53-PK_.jpg
Shop jori in water pump market,Gulberg Town,8  Aug,"Rs 2,15,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
ground + 2 + 1 showroom infront,North Karachi,8  Aug,"Rs 3,25,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Shop for sell haroon shoping mall,North Nazimabad,8  Aug,"Rs 52,00,000",https://apollo-singapore.akamaized.net/v1/files/6bhg3coaw3xb3-PK/image;s=261x203;pk_;slot=1;filename=6bhg3coaw3xb3-PK_.jpg
Dry Containers selling,Saddar Town,8  Aug,"Rs 1,00,000",https://apollo-singapore.akamaized.net/v1/files/w01ztdn8xrty1-PK/image;s=261x203;pk_;slot=1;filename=w01ztdn8xrty1-PK_.jpg
Dry Containers selling,Saddar Town,8  Aug,"Rs 1,00,000",https://apollo-singapore.akamaized.net/v1/files/dpgncmedzlby2-PK/image;s=261x203;pk_;slot=2;filename=dpgncmedzlby2-PK_.jpg
Shop in serena,North Nazimabad,8  Aug,"Rs 1,10,00,000",https://apollo-singapore.akamaized.net/v1/files/o6piw7oilznc3-PK/image;s=261x203;pk_;slot=1;filename=o6piw7oilznc3-PK_.jpg
I.I Chundrigar Road 486 sq yard Building Available,Saddar Town,8  Aug,"Rs 24,00,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Portable Containers & Generators for Sale & Rent available,Super Highway,8  Aug,"Rs 7,50,000",https://apollo-singapore.akamaized.net/v1/files/yq61z50itv112-PK/image;s=261x203;pk_;slot=1;filename=yq61z50itv112-PK_.jpg
Shop For Sale (urgent),Kharadar,8  Aug,"Rs 12,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
A prime commercial area rented out shop with basement available for Sa,DHA Defence,8  Aug,"Rs 7,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Brand New Shops,Drigue Colony,8  Aug,"Rs 12,00,000",https://apollo-singapore.akamaized.net/v1/files/shb7hebkjus92-PK/image;s=261x203;pk_;slot=1;filename=shb7hebkjus92-PK_.jpg
Shop available for saale on main food street of DHA,,8  Aug,"Rs 30,00,000",https://olxpkstatic-a.akamaihd.net/dd81509-971/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Corner Commercial Plot 125 Sq Yards Pricicnt 10 Bahria Karachi,Bahria Town Karachi,8  Aug,"Rs 1,85,00,000",https://apollo-singapore.akamaized.net/v1/files/tocq3pfane76-PK/image;s=261x203;pk_;slot=1;filename=tocq3pfane76-PK_.jpg
