title,location,time,price,img_url
Shop for sale Warda Apartment,Gulistan-e-Jauhar,Yesterday,"Rs 64,00,000",https://apollo-singapore.akamaized.net/v1/files/6xcfktte4sej-PK/image;s=261x203;pk_;slot=1;filename=6xcfktte4sej-PK_.jpg
Open plot - Gulshan e sikander,Korangi,Yesterday,"Rs 65,00,000",https://apollo-singapore.akamaized.net/v1/files/4v0q54dsgvb21-PK/image;s=261x203;pk_;slot=1;filename=4v0q54dsgvb21-PK_.jpg
Gulshan-E-Iqbal Vip Location main Rashid minhas road Shop,Gulshan-E-Iqbal 1,Yesterday,"Rs 2,45,00,000",https://apollo-singapore.akamaized.net/v1/files/kjgim7a33p523-PK/image;s=261x203;pk_;slot=1;filename=kjgim7a33p523-PK_.jpg
"210 Sq Ft Upper Ground Floor Shops, The Jinnah Center, Islamabad",Others,Yesterday,"Rs 10,80,000",https://apollo-singapore.akamaized.net/v1/files/pp829dre5hgm-PK/image;s=261x203;pk_;slot=1;filename=pp829dre5hgm-PK_.jpg
"210 Sq Ft Upper Ground Floor Shops, The Jinnah Center, Islamabad",Others,Yesterday,"Rs 10,20,000",https://apollo-singapore.akamaized.net/v1/files/m4pxv9g25p7r1-PK/image;s=261x203;pk_;slot=1;filename=m4pxv9g25p7r1-PK_.jpg
"210 Sq Ft Ground Floor Shops, The Jinnah Center, Islamabad",Others,Yesterday,"Rs 11,40,000",https://apollo-singapore.akamaized.net/v1/files/s87je9yfq0no3-PK/image;s=261x203;pk_;slot=1;filename=s87je9yfq0no3-PK_.jpg
"210 Sq Ft Ground Floor Shops, The Jinnah Center, Islamabad",Others,Yesterday,"Rs 12,00,000",https://apollo-singapore.akamaized.net/v1/files/eik5283sg9v21-PK/image;s=261x203;pk_;slot=1;filename=eik5283sg9v21-PK_.jpg
"210 Sq Ft Ground Floor Shops, The Jinnah Center, Islamabad",Others,Yesterday,"Rs 10,20,000",https://apollo-singapore.akamaized.net/v1/files/e52nfpaitgey2-PK/image;s=261x203;pk_;slot=1;filename=e52nfpaitgey2-PK_.jpg
"210 Sq Ft Lower Ground Floor Shops, The Jinnah Center, Islamabad",Others,Yesterday,"Rs 6,90,000",https://apollo-singapore.akamaized.net/v1/files/og8qlbn20aaq-PK/image;s=261x203;pk_;slot=1;filename=og8qlbn20aaq-PK_.jpg
"210 Sq Ft Lower Ground Floor Shops, The Jinnah Center, Islamabad",Others,Yesterday,"Rs 7,20,000",https://apollo-singapore.akamaized.net/v1/files/bhw0c8a90lgy1-PK/image;s=261x203;pk_;slot=1;filename=bhw0c8a90lgy1-PK_.jpg
"210 Sq Ft Lower Ground Floor Shops, The Jinnah Center, Islamabad",Others,Yesterday,"Rs 8,40,000",https://apollo-singapore.akamaized.net/v1/files/a7i8roxarhfl2-PK/image;s=261x203;pk_;slot=1;filename=a7i8roxarhfl2-PK_.jpg
"210 Sq Ft Basement Shop, The Jinnah Center, Islamabad",Others,Yesterday,"Rs 16,00,000",https://apollo-singapore.akamaized.net/v1/files/y60jm762y42t1-PK/image;s=261x203;pk_;slot=1;filename=y60jm762y42t1-PK_.jpg
400 Sqr Fet Shop Good Location 15 Commercial Phase 2 ext Defense,DHA Defence,Yesterday,"Rs 60,00,000",https://apollo-singapore.akamaized.net/v1/files/hzqvbrviq5g53-PK/image;s=261x203;pk_;slot=1;filename=hzqvbrviq5g53-PK_.jpg
"280 Sqr ft Shop Sunset Lane 1, Phase 2 Ext. DHA",DHA Defence,Yesterday,"Rs 40,00,000",https://apollo-singapore.akamaized.net/v1/files/6fs3vzu96bps-PK/image;s=261x203;pk_;slot=1;filename=6fs3vzu96bps-PK_.jpg
500 Sqr Ft Mezzanine Office. Phase 2 Ext. DHA,DHA Defence,Yesterday,"Rs 5,20,00,000",https://apollo-singapore.akamaized.net/v1/files/ha0047ofo4142-PK/image;s=261x203;pk_;slot=1;filename=ha0047ofo4142-PK_.jpg
"Hotel, shop, plot",Korangi,Yesterday,"Rs 1,20,00,000",https://apollo-singapore.akamaized.net/v1/files/1rtpegwa0wxk-PK/image;s=261x203;pk_;slot=1;filename=1rtpegwa0wxk-PK_.jpg
Building for sale saba commercial main khayaban shamsheer phase 5,DHA Defence,Yesterday,"Rs 16,50,00,000",https://apollo-singapore.akamaized.net/v1/files/4kcpgpce1bii2-PK/image;s=261x203;pk_;slot=1;filename=4kcpgpce1bii2-PK_.jpg
shop for sale frere Town glass tower,Clifton,Yesterday,"Rs 20,00,000",https://apollo-singapore.akamaized.net/v1/files/f5isxxmrw8yq1-PK/image;s=261x203;pk_;slot=1;filename=f5isxxmrw8yq1-PK_.jpg
Moon Gardan shop corner,Gulistan-e-Jauhar,Yesterday,"Rs 32,00,000",https://olxpkstatic-a.akamaihd.net/f55a353-979/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
500 square feet warehouse at punjab chorangi,Punjab Chowrangi,Yesterday,"Rs 27,00,000",https://apollo-singapore.akamaized.net/v1/files/dyklqh3ulf5b2-PK/image;s=261x203;pk_;slot=1;filename=dyklqh3ulf5b2-PK_.jpg
mezzanine at Jammi Commercial,DHA Defence,Yesterday,"Rs 1,00,00,000",https://apollo-singapore.akamaized.net/v1/files/q6u9kg7xiwqg1-PK/image;s=261x203;pk_;slot=1;filename=q6u9kg7xiwqg1-PK_.jpg
3800 sq ft office floor in clifton,Clifton,Yesterday,"Rs 6,50,00,000",https://apollo-singapore.akamaized.net/v1/files/3evok2344k7r1-PK/image;s=261x203;pk_;slot=1;filename=3evok2344k7r1-PK_.jpg
2000 sq office floor,DHA Defence,Yesterday,"Rs 2,20,00,000",https://apollo-singapore.akamaized.net/v1/files/ykhkq196khio1-PK/image;s=261x203;pk_;slot=1;filename=ykhkq196khio1-PK_.jpg
Shangrilla tower corner main road Park view shop in gulistane johar 13,100 Quarters,Yesterday,"Rs 1,60,00,000",https://apollo-singapore.akamaized.net/v1/files/ogpfqos5jxlt3-PK/image;s=261x203;pk_;slot=1;filename=ogpfqos5jxlt3-PK_.jpg
Hascol Pumps Main City Area in Karachi for Sale,DHA Defence,Yesterday,"Rs 25,00,00,000",https://apollo-singapore.akamaized.net/v1/files/o6ot3ghuw7623-PK/image;s=261x203;pk_;slot=2;filename=o6ot3ghuw7623-PK_.jpg
Mezzanine floor 980 sqft,DHA Defence,Yesterday,"Rs 1,25,00,000",https://apollo-singapore.akamaized.net/v1/files/ylyuqxl4ug2q-PK/image;s=261x203;pk_;slot=1;filename=ylyuqxl4ug2q-PK_.jpg
Defence phase v shop for sale Babar commercial,DHA Defence,Yesterday,"Rs 1,50,00,000",https://apollo-singapore.akamaized.net/v1/files/8ra8jva61s853-PK/image;s=261x203;pk_;slot=1;filename=8ra8jva61s853-PK_.jpg
sport city,Bahria Town Karachi,Yesterday,"Rs 36,00,000",https://olxpkstatic-a.akamaihd.net/f55a353-979/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Shop available for electronic,Saddar Town,Yesterday,"Rs 36,00,000",https://olxpkstatic-a.akamaihd.net/f55a353-979/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Warehouse godam in nawabad khadda market,Nawabad,Yesterday,"Rs 14,00,000",https://apollo-singapore.akamaized.net/v1/files/b45iuzh51bbh-PK/image;s=261x203;pk_;slot=1;filename=b45iuzh51bbh-PK_.jpg
KIngs Trade Centre Basement,Gulistan-e-Jauhar,Yesterday,"Rs 1,75,00,000",https://apollo-singapore.akamaized.net/v1/files/1tmg1df0vrff1-PK/image;s=261x203;pk_;slot=1;filename=1tmg1df0vrff1-PK_.jpg
"Kings Trade Centre, offices",,Yesterday,"Rs 1,20,00,000",https://apollo-singapore.akamaized.net/v1/files/w7f2tg9knmj42-PK/image;s=261x203;pk_;slot=1;filename=w7f2tg9knmj42-PK_.jpg
shops available for sale,Gulzar-E-Hijri,Yesterday,"Rs 55,00,000",https://apollo-singapore.akamaized.net/v1/files/up2bm0vqutyt-PK/image;s=261x203;pk_;slot=1;filename=up2bm0vqutyt-PK_.jpg
Booking Available,DHA Defence,Yesterday,"Rs 1,44,00,000",https://olxpkstatic-a.akamaihd.net/f55a353-979/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
hospital gulshani surjani town main road,Gulshan-E-Iqbal 1,Yesterday,"Rs 14,50,00,000",https://apollo-singapore.akamaized.net/v1/files/zr0zblgjkllq3-PK/image;s=261x203;pk_;slot=1;filename=zr0zblgjkllq3-PK_.jpg
Hospital 20 room rcc main road gulshan surjani,North Karachi,Yesterday,"Rs 1,60,00,000",https://olxpkstatic-a.akamaihd.net/f55a353-979/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Porta Container toilet For Sales,Super Highway,Yesterday,"Rs 4,25,000",https://apollo-singapore.akamaized.net/v1/files/vvg850lsg02i2-PK/image;s=261x203;pk_;slot=1;filename=vvg850lsg02i2-PK_.jpg
Defence badar commercial shop phase 5,,Yesterday,"Rs 75,00,000",https://apollo-singapore.akamaized.net/v1/files/jvaz77p0es6k2-PK/image;s=261x203;pk_;slot=1;filename=jvaz77p0es6k2-PK_.jpg
Commercial. Shop. On. Main. Road,Liaquatabad,Yesterday,"Rs 70,00,000",https://apollo-singapore.akamaized.net/v1/files/uji3zfnpyxmw-PK/image;s=261x203;pk_;slot=1;filename=uji3zfnpyxmw-PK_.jpg
Porta Cabins For Sale,Super Highway,Yesterday,"Rs 6,90,000",https://apollo-singapore.akamaized.net/v1/files/dwbd5xqwra9g2-PK/image;s=261x203;pk_;slot=1;filename=dwbd5xqwra9g2-PK_.jpg
Kings Palm residency Shop,Gulistan-e-Jauhar,Yesterday,"Rs 1,10,00,000",https://apollo-singapore.akamaized.net/v1/files/g73ktmd75ejj2-PK/image;s=261x203;pk_;slot=1;filename=g73ktmd75ejj2-PK_.jpg
Office 3 SIDE CORNER 1st Floor in BUKHARI Commercial phase vi,DHA Defence,Yesterday,"Rs 1,10,00,000",https://olxpkstatic-a.akamaihd.net/f55a353-979/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Saima Arabian villas Shop for sale,Catholic Colony,Yesterday,"Rs 45,00,000",https://apollo-singapore.akamaized.net/v1/files/tel9tvhrh2we3-PK/image;s=261x203;pk_;slot=1;filename=tel9tvhrh2we3-PK_.jpg
Office Main Rahat Commercial phase 6 For S a l e,DHA Defence,Yesterday,"Rs 1,75,00,000",https://apollo-singapore.akamaized.net/v1/files/a2cxrnrhd21y-PK/image;s=261x203;pk_;slot=1;filename=a2cxrnrhd21y-PK_.jpg
House for urgent Sale,Model Colony,Yesterday,"Rs 12,00,000",https://apollo-singapore.akamaized.net/v1/files/y3o19i5nc7bx2-PK/image;s=261x203;pk_;slot=1;filename=y3o19i5nc7bx2-PK_.jpg
Shops at Kurta Galie Hyderi of 10' x 30' size for sale,Haidery,Yesterday,"Rs 2,50,00,000",https://apollo-singapore.akamaized.net/v1/files/12z47un0k2na3-PK/image;s=261x203;pk_;slot=1;filename=12z47un0k2na3-PK_.jpg
"city centre, shop Available for sale",University Road,Yesterday,"Rs 8,00,000",https://olxpkstatic-a.akamaihd.net/f55a353-979/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Building Under Construction Ground 4 Main Gizri Road For Urgent Sale,Gizri Road,Yesterday,"Rs 20,00,00,000",https://apollo-singapore.akamaized.net/v1/files/mp9tykih6zvw2-PK/image;s=261x203;pk_;slot=1;filename=mp9tykih6zvw2-PK_.jpg
Commercial Bungalow 600 Sq yard in Clifton block 2,Clifton,Yesterday,"Rs 16,00,00,000",https://apollo-singapore.akamaized.net/v1/files/l1crxakj34fl-PK/image;s=261x203;pk_;slot=1;filename=l1crxakj34fl-PK_.jpg
Shop for garments,North Nazimabad,Yesterday,"Rs 25,00,000",https://olxpkstatic-a.akamaihd.net/f55a353-979/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Commercial shops for sale,Buffer Zone 1,Yesterday,"Rs 90,00,000",https://apollo-singapore.akamaized.net/v1/files/l38fs531tlxk3-PK/image;s=261x203;pk_;slot=1;filename=l38fs531tlxk3-PK_.jpg
Shop front Road Facing,Saddar Town,Yesterday,"Rs 1,85,00,000",https://olxpkstatic-a.akamaihd.net/f55a353-979/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
SHOP water pump fareed square Auto parts market,Federal B Area,Yesterday,"Rs 1,10,00,000",https://apollo-singapore.akamaized.net/v1/files/8bnq9d704yk92-PK/image;s=261x203;pk_;slot=1;filename=8bnq9d704yk92-PK_.jpg
"Block 10 Gulshani 2nd""floor 3 maintained beds D;D",Gulshan-E-Iqbal 2,Yesterday,"Rs 80,00,000",https://apollo-singapore.akamaized.net/v1/files/wf136qd9sj04-PK/image;s=261x203;pk_;slot=1;filename=wf136qd9sj04-PK_.jpg
Lease hai vip hai metha pani,I.I. Chundrigar Road,Yesterday,"Rs 85,00,000",https://olxpkstatic-a.akamaihd.net/f55a353-979/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Rabtaa krein achinchez hai,I.I. Chundrigar Road,Yesterday,"Rs 80,00,000",https://olxpkstatic-a.akamaihd.net/f55a353-979/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
3 shops in a row best for water plant & mart,Malir,Yesterday,"Rs 4,50,000",https://olxpkstatic-a.akamaihd.net/f55a353-979/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Best opportunity for investors,Airport,Yesterday,"Rs 5,00,000",https://apollo-singapore.akamaized.net/v1/files/a3vgwdcjl3fq-PK/image;s=261x203;pk_;slot=1;filename=a3vgwdcjl3fq-PK_.jpg
Shop for sale,Gulistan-e-Jauhar,Yesterday,"Rs 3,25,000",https://olxpkstatic-a.akamaihd.net/f55a353-979/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
130 square feet double height shop at Badar commercial,DHA Defence,Yesterday,"Rs 45,00,000",https://olxpkstatic-a.akamaihd.net/f55a353-979/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
310 commercial building for sale,Gulshan-E-Iqbal 2,Yesterday,"Rs 7,00,00,000",https://apollo-singapore.akamaized.net/v1/files/s0gzxgwe4a302-PK/image;s=261x203;pk_;slot=1;filename=s0gzxgwe4a302-PK_.jpg
Shop for sale at mateen Shoping Galaxy at jauhar,Gulistan-e-Jauhar,Yesterday,"Rs 29,00,000",https://olxpkstatic-a.akamaihd.net/f55a353-979/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
2 pair shop with basement for sale at shanzil Apartments,Malir Link To Super Highway,Yesterday,"Rs 7,00,00,000",https://olxpkstatic-a.akamaihd.net/f55a353-979/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Commercial plot for sale at Gulistan e Jauhar Block 14,Gulistan-e-Jauhar,Yesterday,"Rs 16,50,00,000",https://apollo-singapore.akamaized.net/v1/files/iv1wslt79ejc2-PK/image;s=261x203;pk_;slot=1;filename=iv1wslt79ejc2-PK_.jpg
Commercial space available for  sale at block14 gulistan e jauhar,Gulistan-e-Jauhar,Yesterday,"Rs 2,60,00,000",https://olxpkstatic-a.akamaihd.net/f55a353-979/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Available space for banquet at main Jinnah Avenue Malir Cantt khi,Malir Link To Super Highway,Yesterday,"Rs 14,00,00,000",https://olxpkstatic-a.akamaihd.net/f55a353-979/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Main Shara - E-faisal Malir Kala Board Per Prim Location For Palaza,Airport,Yesterday,"Rs 4,90,00,000",https://apollo-singapore.akamaized.net/v1/files/8bsldi5zrgbu2-PK/image;s=261x203;pk_;slot=1;filename=8bsldi5zrgbu2-PK_.jpg
Shop at Defence mall,Kashmir Colony,Yesterday,"Rs 24,00,000",https://apollo-singapore.akamaized.net/v1/files/jlb3xg5lsxqy1-PK/image;s=261x203;pk_;slot=1;filename=jlb3xg5lsxqy1-PK_.jpg
Shop for sale in sadar leather market,Saddar Town,12  Aug,"Rs 10,00,000",https://olxpkstatic-a.akamaihd.net/f55a353-979/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Beauty Parlour for Sale in DHA Phase-4.,DHA Defence,12  Aug,"Rs 12,50,000",https://apollo-singapore.akamaized.net/v1/files/fcal6whwak2r2-PK/image;s=261x203;pk_;slot=1;filename=fcal6whwak2r2-PK_.jpg
Main road shops bufferzone,Buffer Zone 2,12  Aug,"Rs 30,00,000",https://apollo-singapore.akamaized.net/v1/files/qggpilugl3t7-PK/image;s=261x203;pk_;slot=1;filename=qggpilugl3t7-PK_.jpg
Shop For sale in big bukhari commercial phase 6,DHA Defence,12  Aug,"Rs 5,90,00,000",https://apollo-singapore.akamaized.net/v1/files/osn4836vetq33-PK/image;s=261x203;pk_;slot=1;filename=osn4836vetq33-PK_.jpg
Shop With Basement Availabe MotorCycle Market In Nazimabad No 3,Nazimabad,12  Aug,"Rs 70,00,000",https://apollo-singapore.akamaized.net/v1/files/6qir12x1atnb1-PK/image;s=261x203;pk_;slot=3;filename=6qir12x1atnb1-PK_.jpg
